wavelength_nm,cross_section_cm2,source
112.68,1.31e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.72,1.26e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.78,1.24e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.84,1.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.89,1.31e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.95,1.39e-17,N2O_Nee(1999)_298K_100-212nm.txt
112.99,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.01,1.58e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.03,1.67e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.06,1.77e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.11,1.92e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.14,2.1e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.18,2.25e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.21,2.41e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.24,2.55e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.27,2.66e-17,N2O_Nee(1999)_298K_100-212nm.txt
113.33,2.74e-17,N2O_Nee(1999)_298K_100-212nm.txt
